server,scenario,pipeline,p50_ms,p95_ms,p99_ms,p999_ms
ferrite,get,1,0.31,0.78,1.12,2.45
ferrite,set,1,0.36,0.92,1.35,2.89
ferrite,mixed,1,0.34,0.85,1.24,2.67
ferrite,get,16,0.08,0.28,0.42,1.12
ferrite,set,16,0.10,0.36,0.56,1.45
ferrite,mixed,16,0.09,0.32,0.48,1.28
redis,get,1,0.39,0.98,1.45,3.12
redis,set,1,0.45,1.14,1.68,3.56
redis,mixed,1,0.42,1.06,1.58,3.34
redis,get,16,0.10,0.35,0.52,1.34
redis,set,16,0.13,0.45,0.68,1.78
redis,mixed,16,0.11,0.39,0.59,1.56
dragonfly,get,1,0.29,0.72,1.08,2.34
dragonfly,set,1,0.33,0.86,1.28,2.76
dragonfly,mixed,1,0.31,0.79,1.18,2.55
dragonfly,get,16,0.07,0.25,0.38,0.98
dragonfly,set,16,0.08,0.32,0.48,1.24
dragonfly,mixed,16,0.08,0.28,0.42,1.12
keydb,get,1,0.36,0.89,1.32,2.85
keydb,set,1,0.42,1.06,1.56,3.34
keydb,mixed,1,0.39,0.98,1.45,3.10
keydb,get,16,0.09,0.32,0.48,1.24
keydb,set,16,0.11,0.42,0.62,1.64
keydb,mixed,16,0.10,0.36,0.54,1.42
