server,scenario,pipeline,data_size_bytes,ops_sec,avg_latency_ms,p50_latency_ms,p99_latency_ms,p999_latency_ms
ferrite,get,1,256,487200,0.41,0.31,1.12,2.45
ferrite,set,1,256,412800,0.48,0.36,1.35,2.89
ferrite,mixed,1,256,445600,0.45,0.34,1.24,2.67
ferrite,get,16,256,1842000,0.11,0.08,0.42,1.12
ferrite,set,16,256,1456000,0.14,0.10,0.56,1.45
ferrite,mixed,16,256,1625000,0.12,0.09,0.48,1.28
redis,get,1,256,398500,0.50,0.39,1.45,3.12
redis,set,1,256,342100,0.58,0.45,1.68,3.56
redis,mixed,1,256,365200,0.55,0.42,1.58,3.34
redis,get,16,256,1520000,0.13,0.10,0.52,1.34
redis,set,16,256,1180000,0.17,0.13,0.68,1.78
redis,mixed,16,256,1340000,0.15,0.11,0.59,1.56
dragonfly,get,1,256,512400,0.39,0.29,1.08,2.34
dragonfly,set,1,256,445600,0.45,0.33,1.28,2.76
dragonfly,mixed,1,256,478900,0.42,0.31,1.18,2.55
dragonfly,get,16,256,2180000,0.09,0.07,0.38,0.98
dragonfly,set,16,256,1780000,0.11,0.08,0.48,1.24
dragonfly,mixed,16,256,1960000,0.10,0.08,0.42,1.12
keydb,get,1,256,425300,0.47,0.36,1.32,2.85
keydb,set,1,256,368900,0.54,0.42,1.56,3.34
keydb,mixed,1,256,392100,0.51,0.39,1.45,3.10
keydb,get,16,256,1680000,0.12,0.09,0.48,1.24
keydb,set,16,256,1320000,0.15,0.11,0.62,1.64
keydb,mixed,16,256,1480000,0.14,0.10,0.54,1.42
